Deal ID,Stage,Lead Source,Created Time
zcrm_5071505000000539427,Closed Lost,,2020-06-23 22:29:57
zcrm_5071505000000539430,Closed Lost,,2020-06-23 22:31:13
zcrm_5071505000000539431,Closed Won,,2020-05-28 10:00:00
zcrm_5071505000000539432,Closed Lost,,2020-06-23 22:31:54
zcrm_5071505000000539433,Closed Won,,2020-06-08 10:00:00
zcrm_5071505000000539434,Closed Won,,2020-05-26 10:00:00
zcrm_5071505000000539436,Closed Lost,,2020-07-01 20:39:30
zcrm_5071505000000539440,Closed Lost,,2020-07-10 04:57:28
zcrm_5071505000000539443,Closed Lost,,2020-07-10 22:57:35
zcrm_5071505000000539444,Closed Lost,,2020-07-13 19:55:14
zcrm_5071505000000539449,Closed Lost,,2020-07-29 08:22:51
zcrm_5071505000000539450,Closed Lost,,2020-07-29 14:17:10
zcrm_5071505000000539454,Closed Lost,,2020-08-09 03:46:16
zcrm_5071505000000539455,Closed Won,,2020-08-10 00:11:13
zcrm_5071505000000539463,Closed Lost,,2020-08-27 02:18:13
zcrm_5071505000000539464,Closed Lost,,2020-08-28 00:04:07
zcrm_5071505000000539465,Closed Lost,,2020-08-30 22:11:42
zcrm_5071505000000539466,Closed Lost,,2020-08-31 18:14:20
zcrm_5071505000000539467,Closed Lost,,2020-09-01 21:17:20
zcrm_5071505000000539468,Closed Lost,,2020-09-01 21:18:31
zcrm_5071505000000539469,Closed Won,,2020-09-01 21:20:45
zcrm_5071505000000539470,Closed Lost,,2020-09-02 07:37:27
zcrm_5071505000000539473,Closed Won,,2020-09-04 21:39:38
zcrm_5071505000000539475,Closed Won,,2020-09-08 19:23:38
zcrm_5071505000000539481,Closed Won,,2020-09-23 19:50:29
zcrm_5071505000000539487,Closed Won,,2020-10-05 19:57:11
zcrm_5071505000000539489,Closed Won,,2020-10-06 21:17:24
zcrm_5071505000000539494,Closed Won,,2020-10-16 20:27:29
zcrm_5071505000000539495,Closed Won,,2020-10-16 20:42:38
zcrm_5071505000000539499,Closed Won,,2020-10-20 20:05:14
zcrm_5071505000000539513,Closed Won,,2020-10-23 21:01:05
zcrm_5071505000000539514,Closed Won,,2020-10-26 19:18:23
zcrm_5071505000000539515,Closed Lost,,2020-10-26 21:15:38
zcrm_5071505000000539542,Closed Won,,2020-11-03 21:43:07
zcrm_5071505000000539556,Closed Lost,,2020-11-24 22:07:53
zcrm_5071505000000539558,Closed Lost,,2020-11-25 10:50:03
zcrm_5071505000000539559,Closed Lost,,2020-11-25 10:50:57
zcrm_5071505000000539560,Closed Lost,,2020-11-25 10:51:34
zcrm_5071505000000539561,Closed Lost,,2020-11-25 12:26:06
zcrm_5071505000000539580,Closed Lost,,2020-11-26 10:34:33
zcrm_5071505000000539581,Closed Lost,,2020-11-26 13:31:04
zcrm_5071505000000539582,Closed Lost,,2020-11-26 13:35:55
zcrm_5071505000000539583,Closed Lost,,2020-11-30 13:10:05
zcrm_5071505000000539597,Closed Lost,,2020-12-03 20:46:47
zcrm_5071505000000539628,Closed Lost,,2020-12-10 22:10:37
zcrm_5071505000000539629,Closed Won,,2020-12-11 17:55:35
zcrm_5071505000000539630,Closed Lost,,2020-12-14 09:55:15
zcrm_5071505000000539635,Closed Won,,2021-01-08 20:53:53
zcrm_5071505000000539639,Closed Won,,2021-01-15 09:25:59
zcrm_5071505000000539641,Closed Won,,2021-01-18 19:57:50
zcrm_5071505000000539643,Closed Won,,2021-01-19 12:53:07
zcrm_5071505000000539647,Closed Won,,2021-01-24 21:40:32
zcrm_5071505000000539667,Closed Won,,2021-02-25 11:14:28
zcrm_5071505000000543705,Closed Lost,,2021-03-02 21:27:01
zcrm_5071505000000543706,Closed Lost,,2021-03-02 21:27:25
zcrm_5071505000000543709,Closed Lost,,2021-03-03 22:56:10
zcrm_5071505000000543710,Closed Lost,,2021-03-03 22:56:23
zcrm_5071505000000543723,Closed Won,outreach in Linkedin,2021-03-16 15:52:25
zcrm_5071505000000543724,Closed Lost,,2021-03-17 19:58:16
zcrm_5071505000000543730,Closed Won,,2021-03-23 08:31:23
zcrm_5071505000000543749,Closed Won,,2021-04-19 23:28:00
zcrm_5071505000000543753,Closed Lost,,2021-04-21 16:52:44
zcrm_5071505000000543759,Closed Won,,2021-05-06 05:43:03
zcrm_5071505000000543762,Closed Won,,2021-05-12 14:39:55
zcrm_5071505000000543763,Closed Won,,2021-05-12 14:40:38
zcrm_5071505000000543772,Closed Won,,2021-05-24 16:54:47
zcrm_5071505000000543776,Closed Won,,2021-05-27 15:53:04
zcrm_5071505000000543777,Closed Won,,2021-05-27 16:52:20
zcrm_5071505000000543778,Closed Won,,2021-05-28 10:23:22
zcrm_5071505000000543782,Closed Won,,2021-06-03 16:01:54
zcrm_5071505000000543786,Closed Won,,2021-06-11 11:51:15
zcrm_5071505000000543787,Closed Won,,2021-06-14 14:00:20
zcrm_5071505000000543788,Closed Won,,2021-06-15 17:47:31
zcrm_5071505000000543792,Closed Won,,2021-06-22 13:45:31
zcrm_5071505000000543793,Closed Won,,2021-06-22 13:45:46
zcrm_5071505000000543851,Closed Lost,,2021-07-05 13:35:28
zcrm_5071505000000543911,Closed Won,,2021-07-08 12:49:03
zcrm_5071505000000543915,Closed Won,,2021-07-09 10:12:41
zcrm_5071505000000544952,Closed Won,,2021-08-02 22:11:09
zcrm_5071505000000544955,Closed Lost,,2021-08-06 19:26:49
zcrm_5071505000000544964,Closed Won,,2021-08-11 05:47:36
zcrm_5071505000000544965,Closed Won,,2021-08-11 10:21:16
zcrm_5071505000000544970,Closed Won,,2021-08-12 15:55:47
zcrm_5071505000000544971,Closed Won,,2021-08-12 15:56:36
zcrm_5071505000000544972,Closed Won,,2021-08-12 16:05:44
zcrm_5071505000000544973,Closed Won,,2021-08-12 16:05:52
zcrm_5071505000000545013,Closed Won,,2021-09-08 15:06:05
zcrm_5071505000000545037,Closed Won,,2021-09-24 09:29:43
zcrm_5071505000000545041,Closed Won,,2021-09-28 19:52:37
zcrm_5071505000000545042,Closure Process,outreach in Linkedin,2021-09-28 21:26:39
zcrm_5071505000000545051,Closed Lost,,2021-10-12 15:28:52
zcrm_5071505000000545056,Closed Won,,2021-10-12 18:15:59
zcrm_5071505000000545059,Closed Lost,,2021-10-15 10:36:20
zcrm_5071505000000545064,Closed Won,,2021-10-18 18:49:00
zcrm_5071505000000545072,Closed Lost,,2021-10-27 09:29:43
zcrm_5071505000000545126,Process Lost,deal from an existing client,2021-11-25 14:20:19
